POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
1,Andrew Tye,14,14,56,448,24,4/16,18.66,8,14,3,0
2,Rashid Khan,17,17,68,458,21,3/19,21.8,6.73,19.42,0,0
3,Siddarth Kaul,17,17,66,547,21,3/23,26.04,8.28,18.85,0,0
4,Umesh Yadav,14,14,53.1,418,20,3/23,20.9,7.86,15.95,0,0
5,Trent Boult,14,14,52.4,466,18,2/20,25.88,8.84,17.55,0,0
6,Hardik Pandya,13,13,42.4,381,18,3/24,21.16,8.92,14.22,0,0
7,Jasprit Bumrah,14,14,54,372,17,3/15,21.88,6.88,19.05,0,0
8,Sunil Narine,16,16,61,467,17,3/18,27.47,7.65,21.52,0,0
9,Kuldeep Yadav,16,16,51.2,418,17,4/20,24.58,8.14,18.11,1,0
10,Shardul Thakur,13,13,46.4,431,16,2/18,26.93,9.23,17.5,0,0
11,Mayank Markande,14,14,44,368,15,4/23,24.53,8.36,17.6,1,0
12,Jofra Archer,10,10,38.5,325,15,3/22,21.66,8.36,15.53,0,0
13,Mujeeb Ur Rahman,11,11,41.2,289,14,3/27,20.64,6.99,17.71,0,0
14,Shakib Al Hasan,17,17,57,456,14,2/18,32.57,8,24.42,0,0
15,Mitchell McClenaghan,11,11,40,332,14,2/22,23.71,8.3,17.14,0,0
16,Piyush Chawla,15,15,49,412,14,3/48,29.42,8.4,21,0,0
17,Dwayne Bravo,16,16,53.3,533,14,2/16,38.07,9.96,22.92,0,0
18,Andre Russell,16,15,37.5,355,13,3/31,27.3,9.38,17.46,0,0
19,Krunal Pandya,14,13,40.1,284,12,3/28,23.66,7.07,20.08,0,0
20,Amit Mishra,10,10,37,264,12,3/19,22,7.13,18.5,0,0
21,Yuzvendra Chahal,14,14,50,363,12,2/22,30.25,7.26,25,0,0
22,Sandeep Sharma,12,12,44,333,12,2/17,27.75,7.56,22,0,0
23,Lungi Ngidi,7,7,26,156,11,4/10,14.18,6,14.18,1,0
24,Ravindra Jadeja,16,14,41,303,11,3/18,27.54,7.39,22.36,0,0
