POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
1,Ravindra Jadeja,36,7,514.28,1,5,RCB,Wankhede Stadium,25 April 2021
2,Pat Cummins,30,6,500,1,4,CSK,Wankhede Stadium,21 April 2021
3,Prithvi Shaw,24,6,400,6,0,KKR,Narendra Modi Stadium,29 April 2021
4,Mahipal Lomror,24,6,400,2,2,PBKS,Dubai International Stadium,21 September 2021
5,Glenn Maxwell,22,6,366.66,3,1,RR,Dubai International Stadium,29 September 2021
6,Andre Russell,22,6,366.66,1,3,CSK,Wankhede Stadium,21 April 2021
7,Yashasvi Jaiswal,22,6,366.66,1,3,CSK,Zayed Cricket Stadium,02 October 2021
8,Jos Buttler,22,6,366.66,1,3,SRH,Arun Jaitley Stadium,02 May 2021
9,AB de Villiers,22,6,366.66,0,3,DC,Narendra Modi Stadium,27 April 2021
10,Ravindra Jadeja,21,5,420,2,2,KKR,Zayed Cricket Stadium,26 September 2021
11,Shikhar Dhawan,21,6,350,2,2,CSK,Dubai International Stadium,04 October 2021
12,Jos Buttler,20,5,400,2,2,SRH,Arun Jaitley Stadium,02 May 2021
13,AB de Villiers,20,6,333.33,3,1,KKR,Chidambaram,18 April 2021
14,Robin Uthappa,20,6,333.33,2,2,DC,Dubai International Stadium,10 October 2021
15,Sanju Samson,20,6,333.33,1,2,SRH,Dubai International Stadium,27 September 2021
16,Shimron Hetmyer,20,5,400,0,3,RCB,Narendra Modi Stadium,27 April 2021
17,Chris Gayle,20,6,333.33,5,0,RCB,Narendra Modi Stadium,30 April 2021
18,Rishabh Pant,20,6,333.33,4,0,RR,Wankhede Stadium,15 April 2021
19,Kieron Pollard,19,5,380,3,1,CSK,Arun Jaitley Stadium,01 May 2021
20,Andre Russell,19,5,380,3,1,RCB,Chidambaram,18 April 2021
21,Sunil Narine,19,5,380,1,2,DC,Sharjah Cricket Stadium,28 September 2021
22,Ishan Kishan,19,7,271.42,1,2,RR,Sharjah Cricket Stadium,05 October 2021
23,Kane Williamson,19,5,380,3,1,CSK,Arun Jaitley Stadium,28 April 2021
24,Deepak Hooda,19,5,380,0,3,RR,Wankhede Stadium,12 April 2021
25,Kieron Pollard,19,5,380,0,3,CSK,Arun Jaitley Stadium,01 May 2021
26,Sunil Narine,19,4,475,0,3,RCB,Sharjah Cricket Stadium,11 October 2021
27,Ishan Kishan,18,6,300,4,0,SRH,Zayed Cricket Stadium,08 October 2021
28,Jonny Bairstow,18,6,300,3,1,MI,Chidambaram,17 April 2021
29,Jason Roy,18,5,360,3,1,RR,Dubai International Stadium,27 September 2021
30,KL Rahul,18,5,360,1,2,RR,Dubai International Stadium,21 September 2021
31,Faf du Plessis,18,5,360,3,1,RR,Wankhede Stadium,19 April 2021
32,Kane Williamson,18,6,300,4,0,KKR,Dubai International Stadium,03 October 2021
33,Evin Lewis,18,6,300,1,2,RCB,Dubai International Stadium,29 September 2021
34,Glenn Maxwell,17,4,425,1,2,SRH,Chidambaram,14 April 2021
35,Sanju Samson,17,5,340,2,1,PBKS,Wankhede Stadium,12 April 2021
36,Glenn Maxwell,17,6,283.33,2,1,MI,Dubai International Stadium,26 September 2021
37,Dinesh Karthik,17,5,340,2,1,CSK,Zayed Cricket Stadium,26 September 2021
38,Sam Curran,17,4,425,1,2,DC,Wankhede Stadium,10 April 2021
39,Shivam Mavi,17,5,340,1,2,CSK,Dubai International Stadium,15 October 2021
40,KL Rahul,17,5,340,0,2,CSK,Dubai International Stadium,07 October 2021
41,Faf du Plessis,17,4,425,1,2,MI,Arun Jaitley Stadium,01 May 2021
42,Ambati Rayudu,17,4,425,1,2,MI,Arun Jaitley Stadium,01 May 2021
43,Jos Buttler,17,5,340,4,0,PBKS,Wankhede Stadium,12 April 2021
44,Andre Russell,16,5,320,1,2,DC,Narendra Modi Stadium,29 April 2021
45,Yashasvi Jaiswal,16,6,266.66,3,0,CSK,Zayed Cricket Stadium,02 October 2021
46,Shimron Hetmyer,16,3,533.33,1,2,PBKS,Narendra Modi Stadium,02 May 2021
47,Suresh Raina,16,5,320,0,2,DC,Wankhede Stadium,10 April 2021
48,Marcus Stoinis,16,6,266.66,2,1,PBKS,Wankhede Stadium,18 April 2021
49,Hardik Pandya,16,5,320,2,1,PBKS,Zayed Cricket Stadium,28 September 2021
50,Ishan Kishan,16,4,400,2,1,SRH,Zayed Cricket Stadium,08 October 2021
