POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
1,Kieron Pollard,83,31,267.74,3,10,PBKS,Wankhede Stadium,10 April 2019
2,Hardik Pandya,91,34,267.64,6,9,KKR,Eden Gardens,28 April 2019
3,Andre Russell,65,25,260,2,9,RCB,Eden Gardens,19 April 2019
4,Dinesh Karthik,97,50,194,7,9,RR,Eden Gardens,25 April 2019
5,Andre Russell,80,40,200,6,8,MI,Eden Gardens,28 April 2019
6,Andre Russell,48,13,369.23,1,7,RCB,M. Chinnaswamy Stadium,05 April 2019
7,Rishabh Pant,78,27,288.88,7,7,MI,Wankhede Stadium,24 March 2019
8,Jos Buttler,89,43,206.97,8,7,MI,Wankhede Stadium,13 April 2019
9,Jonny Bairstow,114,56,203.57,12,7,RCB,Rajiv Gandhi Intl. Cricket Stadium,31 March 2019
10,AB de Villiers,82,44,186.36,3,7,PBKS,M. Chinnaswamy Stadium,24 April 2019
11,Nitish Rana,63,34,185.29,2,7,PBKS,Eden Gardens,27 March 2019
12,Chris Gayle,63,36,175,3,7,MI,Wankhede Stadium,10 April 2019
13,MS Dhoni,84,48,175,5,7,RCB,M. Chinnaswamy Stadium,21 April 2019
14,Moeen Ali,66,28,235.71,5,6,KKR,Eden Gardens,19 April 2019
15,Andre Russell,62,28,221.42,4,6,DC,Arun Jaitley Stadium,30 March 2019
16,Shane Watson,96,53,181.13,9,6,SRH,Chidambaram,23 April 2019
17,AB de Villiers,70,41,170.73,4,6,MI,M. Chinnaswamy Stadium,28 March 2019
18,Chris Lynn,82,51,160.78,7,6,CSK,Eden Gardens,14 April 2019
19,Shimron Hetmyer,75,47,159.57,4,6,SRH,M. Chinnaswamy Stadium,04 May 2019
20,KL Rahul,100,64,156.25,6,6,MI,Wankhede Stadium,10 April 2019
21,Andre Russell,48,17,282.35,3,5,PBKS,Eden Gardens,27 March 2019
22,Rishabh Pant,49,21,233.33,2,5,SRH,ACA-VDCA Stadium,08 May 2019
23,KL Rahul,71,36,197.22,7,5,CSK,IS Bindra Stadium,05 May 2019
24,Chris Gayle,69,37,186.48,6,5,DC,Arun Jaitley Stadium,20 April 2019
25,Nitish Rana,85,46,184.78,9,5,RCB,Eden Gardens,19 April 2019
26,David Warner,100,55,181.81,5,5,RCB,Rajiv Gandhi Intl. Cricket Stadium,31 March 2019
27,David Warner,67,38,176.31,3,5,KKR,Rajiv Gandhi Intl. Cricket Stadium,21 April 2019
28,Nicholas Pooran,46,28,164.28,1,5,RCB,M. Chinnaswamy Stadium,24 April 2019
29,Moeen Ali,50,32,156.25,1,5,MI,Wankhede Stadium,15 April 2019
30,Chris Gayle,99,64,154.68,10,5,RCB,IS Bindra Stadium,13 April 2019
31,KL Rahul,79,56,141.07,4,5,SRH,Rajiv Gandhi Intl. Cricket Stadium,29 April 2019
32,Rishabh Pant,53,38,139.47,2,5,RR,Arun Jaitley Stadium,04 May 2019
33,Andre Russell,49,19,257.89,4,4,SRH,Eden Gardens,24 March 2019
34,Rishabh Pant,78,36,216.66,6,4,RR,Sawai Mansingh Stadium,22 April 2019
35,Andre Russell,45,21,214.28,3,4,DC,Eden Gardens,12 April 2019
36,AB de Villiers,63,32,196.87,5,4,KKR,M. Chinnaswamy Stadium,05 April 2019
37,Martin Guptill,36,19,189.47,1,4,DC,ACA-VDCA Stadium,08 May 2019
38,Jonny Bairstow,80,43,186.04,7,4,KKR,Rajiv Gandhi Intl. Cricket Stadium,21 April 2019
39,Sanju Samson,102,55,185.45,10,4,SRH,Rajiv Gandhi Intl. Cricket Stadium,29 March 2019
40,Nicholas Pooran,48,27,177.77,3,4,KKR,IS Bindra Stadium,03 May 2019
41,Kieron Pollard,46,26,176.92,2,4,SRH,Rajiv Gandhi Intl. Cricket Stadium,06 April 2019
42,Faf du Plessis,96,55,174.54,10,4,PBKS,IS Bindra Stadium,05 May 2019
43,Virat Kohli,100,58,172.41,9,4,KKR,Eden Gardens,19 April 2019
44,Quinton de Kock,29,17,170.58,0,4,CSK,Rajiv Gandhi Intl. Cricket Stadium,12 May 2019
45,Shubman Gill,76,45,168.88,6,4,MI,Eden Gardens,28 April 2019
46,Chris Gayle,79,47,168.08,8,4,RR,Sawai Mansingh Stadium,25 March 2019
47,Chris Gayle,40,24,166.66,3,4,MI,IS Bindra Stadium,30 March 2019
48,MS Dhoni,75,46,163.04,4,4,RR,Chidambaram,31 March 2019
49,Kane Williamson,70,43,162.79,5,4,RCB,M. Chinnaswamy Stadium,04 May 2019
50,Shane Watson,50,32,156.25,3,4,DC,ACA-VDCA Stadium,10 May 2019
51,Quinton de Kock,81,52,155.76,6,4,RR,Wankhede Stadium,13 April 2019
52,AB de Villiers,75,51,147.05,6,4,MI,Wankhede Stadium,15 April 2019
53,Parthiv Patel,53,37,143.24,2,4,CSK,M. Chinnaswamy Stadium,21 April 2019
54,Faf du Plessis,54,38,142.1,2,4,PBKS,Chidambaram,06 April 2019
55,Chris Lynn,41,29,141.37,2,4,MI,Wankhede Stadium,05 May 2019
56,Shane Watson,80,59,135.59,8,4,MI,Rajiv Gandhi Intl. Cricket Stadium,12 May 2019
57,Virat Kohli,25,7,357.14,1,3,RR,M. Chinnaswamy Stadium,30 April 2019
58,Hardik Pandya,25,8,312.5,1,3,CSK,Wankhede Stadium,03 April 2019
59,Stuart Binny,33,11,300,2,3,PBKS,IS Bindra Stadium,16 April 2019
60,Sunil Narine,24,9,266.66,1,3,PBKS,Eden Gardens,27 March 2019
61,Hardik Pandya,28,11,254.54,1,3,RR,Wankhede Stadium,13 April 2019
62,Ishan Kishan,21,9,233.33,0,3,RCB,Wankhede Stadium,15 April 2019
63,Vijay Shankar,35,15,233.33,1,3,RR,Rajiv Gandhi Intl. Cricket Stadium,29 March 2019
64,Hardik Pandya,32,14,228.57,2,3,RCB,M. Chinnaswamy Stadium,28 March 2019
65,Sanju Samson,28,13,215.38,2,3,RCB,M. Chinnaswamy Stadium,30 April 2019
66,Sherfane Rutherford,28,13,215.38,1,3,RCB,Arun Jaitley Stadium,28 April 2019
67,Hardik Pandya,32,15,213.33,2,3,DC,Arun Jaitley Stadium,18 April 2019
68,Chris Lynn,46,22,209.09,5,3,PBKS,IS Bindra Stadium,03 May 2019
69,MS Dhoni,44,22,200,4,3,DC,Chidambaram,01 May 2019
70,Nitish Rana,26,13,200,0,3,MI,Wankhede Stadium,05 May 2019
71,Yuvraj Singh,23,12,191.66,0,3,RCB,M. Chinnaswamy Stadium,28 March 2019
72,Sunil Narine,47,25,188,6,3,RR,Sawai Mansingh Stadium,07 April 2019
73,Prithvi Shaw,99,55,180,12,3,KKR,Arun Jaitley Stadium,30 March 2019
74,Moeen Ali,32,18,177.77,1,3,DC,M. Chinnaswamy Stadium,07 April 2019
75,Ben Stokes,46,26,176.92,1,3,CSK,Chidambaram,31 March 2019
76,Manish Pandey,83,49,169.38,7,3,CSK,Chidambaram,23 April 2019
77,Shane Watson,44,26,169.23,4,3,DC,Arun Jaitley Stadium,26 March 2019
78,Liam Livingstone,44,26,169.23,4,3,SRH,Sawai Mansingh Stadium,27 April 2019
