POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
101,Owais Shah,3,2,0,26,23,13,15,173.33,0,0,1,2
102,Nathan McCullum,2,2,1,26,15,26,22,118.18,0,0,0,1
103,Rajat Bhatia,14,6,3,25,11,8.33,22,113.63,0,0,3,0
104,Rajagopal Sathish,9,3,1,25,18*,12.5,34,73.52,0,0,1,0
105,Rahul Sharma,14,5,2,24,13,8,21,114.28,0,0,1,2
106,Thisara Perera,4,2,0,23,22,11.5,27,85.18,0,0,4,0
107,Bipul Sharma,4,3,2,23,16*,23,18,127.77,0,0,1,0
108,Daniel Vettori,13,4,3,23,18*,23,28,82.14,0,0,1,1
109,Matthew Wade,3,3,0,22,11,7.33,33,66.66,0,0,0,0
110,Colin Ingram,3,3,1,21,13*,10.5,26,80.76,0,0,2,0
111,Zaheer Khan,15,2,0,21,21,10.5,24,87.5,0,0,2,0
112,Y Gnaneswara Rao,2,1,0,19,19,19,17,111.76,0,0,3,0
113,Faiz Fazal,2,2,0,19,16,9.5,19,100,0,0,3,0
114,Johan van der Wath,3,3,1,18,14*,9,16,112.5,0,0,1,1
115,Sachin Rana,2,1,0,18,18,18,16,112.5,0,0,2,0
116,Kedar Jadhav,6,4,1,18,12,6,23,78.26,0,0,1,0
117,Brad Haddin,1,1,0,18,18,18,11,163.63,0,0,2,1
118,Dishant Yagnik,7,4,3,16,10*,16,22,72.72,0,0,1,0
119,Iqbal Abdulla,15,2,2,15,12*,0,12,125,0,0,1,0
120,Syed Mohammad,5,2,2,15,13*,0,12,125,0,0,2,0
121,Roelof van der Merwe,4,4,4,14,8*,0,16,87.5,0,0,1,0
122,Harpreet Singh,2,2,1,14,13,14,20,70,0,0,0,0
123,Laxmi Ratan Shukla,1,1,0,14,14,14,10,140,0,0,2,0
124,Sreenath Aravind,13,2,2,13,11*,0,8,162.5,0,0,2,0
125,Balachandra Akhil,1,1,0,13,13,13,9,144.44,0,0,0,1
126,Murali Kartik,6,3,2,12,11,12,15,80,0,0,1,0
127,Dwayne Bravo,6,2,1,11,6*,11,6,183.33,0,0,1,1
128,Ramesh Powar,5,3,2,11,8*,11,13,84.61,0,0,0,0
129,Shane Warne,13,4,2,10,5*,5,20,50,0,0,1,0
130,Tim Paine,2,2,0,10,8,5,26,38.46,0,0,0,0
131,Abhishek Jhunjhunwala,3,2,0,10,10,5,18,55.55,0,0,2,0
132,Shaun Tait,4,2,1,10,10*,10,10,100,0,0,1,0
133,Swapnil Asnodkar,1,1,0,9,9,9,9,100,0,0,1,0
134,Siddharth Chitnis,1,1,0,9,9,9,9,100,0,0,1,0
135,Charl Langeveldt,3,1,0,8,8,8,8,100,0,0,0,1
136,Andrew McDonald,1,1,0,8,8,8,7,114.28,0,0,0,0
137,Lasith Malinga,16,4,1,8,7,2.66,9,88.88,0,0,0,1
138,Arun Karthik,3,2,0,7,6,3.5,8,87.5,0,0,1,0
139,Ishan Malhotra,1,1,1,7,7*,0,4,175,0,0,1,0
140,Ajit Agarkar,7,2,1,7,7*,7,6,116.66,0,0,1,0
141,Mark Boucher,4,3,2,6,5,6,6,100,0,0,0,0
142,Muttiah Muralitharan,5,1,1,5,5*,0,8,62.5,0,0,0,0
143,Brett Lee,12,4,1,5,2*,1.66,9,55.55,0,0,0,0
144,Scott Styris,2,1,1,5,5*,0,2,250,0,0,1,0
145,Pinal Shah,2,1,0,5,5,5,5,100,0,0,1,0
146,Ishant Sharma,12,5,5,4,1*,0,5,80,0,0,0,0
147,Lakshmipathy Balaji,14,2,2,4,3*,0,2,200,0,0,0,0
148,Shalabh Srivastava,6,2,2,4,3*,0,3,133.33,0,0,0,0
149,Sridharan Sriram,1,1,0,4,4,4,7,57.14,0,0,0,0
150,Ryan Ninan,2,1,0,3,3,3,6,50,0,0,0,0
