POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Robin Uthappa,16,16,1,660,83*,44,479,137.78,0,5,74,18
2,Dwayne Smith,16,16,0,566,79,35.37,416,136.05,0,5,50,34
3,Glenn Maxwell,16,16,0,552,95,34.5,294,187.75,0,4,48,36
4,David Warner,14,14,3,528,90,48,375,140.8,0,6,39,24
5,Suresh Raina,16,16,3,523,87,40.23,358,146.08,0,5,51,19
6,Virender Sehwag,17,17,0,455,122,26.76,315,144.44,1,1,56,18
7,David Miller,16,16,6,446,66,44.6,299,149.16,0,3,34,21
8,JP Duminy,14,14,6,410,67*,51.25,305,134.42,0,2,22,20
9,Brendon McCullum,14,14,1,405,71*,31.15,333,121.62,0,3,32,19
10,Manish Pandey,16,16,3,401,94,30.84,340,117.94,0,2,35,10
11,AB de Villiers,14,13,2,395,89*,35.9,249,158.63,0,3,26,24
12,Lendl Simmons,8,8,1,394,100*,56.28,291,135.39,1,3,43,14
13,Rohit Sharma,15,15,2,390,59*,30,302,129.13,0,3,31,16
14,Shikhar Dhawan,14,14,1,377,64*,29,319,118.18,0,2,49,7
15,Yuvraj Singh,14,14,3,376,83,34.18,278,135.25,0,3,22,28
16,MS Dhoni,16,15,10,371,57*,74.2,250,148.4,0,1,22,20
17,Wriddhiman Saha,17,13,2,362,115*,32.9,249,145.38,1,2,33,18
18,Ambati Rayudu,15,14,0,361,68,25.78,287,125.78,0,2,31,8
19,Virat Kohli,14,14,1,359,73,27.61,294,122.1,0,2,23,16
20,Sanju Samson,13,13,0,339,74,26.07,273,124.17,0,2,25,17
21,Ajinkya Rahane,13,12,0,339,72,28.25,291,116.49,0,3,38,3
22,Gautam Gambhir,16,16,1,335,69,22.33,293,114.33,0,3,36,4
23,Karun Nair,11,11,1,330,73*,33,232,142.24,0,3,38,9
24,Dinesh Karthik,14,14,0,325,69,23.21,258,125.96,0,3,28,11
25,Manan Vohra,8,8,0,324,67,40.5,233,139.05,0,1,27,16
26,Aaron Finch,13,13,2,309,88*,28.09,263,117.49,0,2,31,9
27,Faf du Plessis,15,12,1,303,54*,27.54,235,128.93,0,2,26,7
28,Kevin Pietersen,11,11,1,294,58,29.4,233,126.18,0,1,34,7
29,Kieron Pollard,15,15,7,273,78,34.12,203,134.48,0,1,15,15
30,Yusuf Pathan,15,12,3,268,72,29.77,165,162.42,0,1,15,20
31,Corey Anderson,12,11,2,265,95*,29.44,181,146.4,0,1,21,15
32,George Bailey,17,16,7,257,40*,28.55,190,135.26,0,0,19,10
33,Shane Watson,13,13,1,240,51,20,196,122.44,0,2,19,14
34,Naman Ojha,11,10,4,232,79*,38.66,161,144.09,0,1,14,17
35,Shakib Al Hasan,13,11,4,227,60,32.42,152,149.34,0,1,22,7
36,Michael Hussey,9,9,0,209,56,23.22,182,114.83,0,2,17,7
37,Murali Vijay,11,11,0,207,52,18.81,192,107.81,0,1,20,5
38,Parthiv Patel,12,12,2,205,57*,20.5,185,110.81,0,1,30,1
39,Chris Gayle,9,9,0,196,46,21.77,184,106.52,0,0,18,12
40,James Faulkner,13,12,8,181,41*,45.25,94,192.55,0,0,8,16
41,KL Rahul,11,8,0,166,46,20.75,164,101.21,0,0,12,3
42,Suryakumar Yadav,16,10,5,164,34,32.8,117,140.17,0,0,16,5
43,Quinton de Kock,7,7,0,153,48,21.85,130,117.69,0,0,19,4
44,Manoj Tiwary,8,8,3,152,61*,30.4,118,128.81,0,1,14,4
45,Jacques Kallis,8,7,1,151,72,25.16,129,117.05,0,1,13,4
46,Kedar Jadhav,10,10,5,149,37,29.8,101,147.52,0,0,13,7
47,Steve Smith,10,7,3,147,48*,36.75,110,133.63,0,0,13,4
48,Ravindra Jadeja,16,10,5,146,36*,29.2,110,132.72,0,0,9,5
49,Aditya Tare,15,12,4,126,24,15.75,98,128.57,0,0,16,3
50,Cheteshwar Pujara,6,6,1,125,40*,25,124,100.8,0,0,17,0
51,Stuart Binny,13,12,2,123,48*,12.3,121,101.65,0,0,4,5
52,Chidhambaram Gautam,9,9,2,121,33,17.28,111,109,0,0,13,5
53,David Hussey,5,4,2,116,50*,58,94,123.4,0,1,8,6
54,Mayank Agarwal,8,8,0,115,31,14.37,91,126.37,0,0,12,3
55,Darren Sammy,10,9,2,108,29,15.42,91,118.68,0,0,4,8
56,Yogesh Takawale,5,5,0,104,45,20.8,91,114.28,0,0,17,1
57,Brad Hodge,4,4,1,101,40,33.66,72,140.27,0,0,4,6
58,Mitchell Starc,14,9,3,85,29,14.16,84,101.19,0,0,9,0
59,Rishi Dhawan,13,6,4,82,23*,41,75,109.33,0,0,8,1
60,Sachin Rana,9,7,4,73,19*,24.33,65,112.3,0,0,7,1
61,Venugopal Rao,7,5,2,71,27,23.66,63,112.69,0,0,8,0
62,Shaun Marsh,2,2,0,70,40,35,52,134.61,0,0,7,3
63,Rajat Bhatia,12,7,2,67,23,13.4,53,126.41,0,0,4,3
64,Axar Patel,17,8,2,62,42*,10.33,60,103.33,0,0,6,1
65,Ross Taylor,4,4,1,59,43*,19.66,59,100,0,0,6,0
66,Chris Lynn,2,2,0,58,45,29,49,118.36,0,0,5,3
67,Mitchell Johnson,14,8,5,56,16*,18.66,50,112,0,0,4,3
68,Irfan Pathan,10,6,4,55,23*,27.5,54,101.85,0,0,5,0
69,Ryan ten Doeschate,10,7,3,52,25*,13,33,157.57,0,0,3,4
70,Albie Morkel,7,5,2,45,16,15,41,109.75,0,0,1,3
71,Ravichandran Ashwin,16,6,3,45,14,15,45,100,0,0,4,0
72,Abhishek Nayar,5,4,1,43,23,14.33,47,91.48,0,0,5,1
73,Jimmy Neesham,4,3,0,42,22,14,46,91.3,0,0,3,1
74,Karn Sharma,14,8,4,42,17*,10.5,29,144.82,0,0,1,3
75,Ben Dunk,3,3,0,40,20,13.33,35,114.28,0,0,7,0
76,Rilee Rossouw,3,3,0,39,24,13,41,95.12,0,0,2,2
77,Kevon Cooper,5,5,2,39,32,13,26,150,0,0,2,3
78,Varun Aaron,10,3,3,35,17*,0,34,102.94,0,0,2,1
79,Dhawal Kulkarni,8,2,2,35,28*,0,25,140,0,0,1,2
80,Mithun Manhas,12,5,3,35,13*,17.5,23,152.17,0,0,3,1
81,Ankit Sharma,3,2,0,34,30,17,30,113.33,0,0,4,1
82,Piyush Chawla,11,5,2,31,17*,10.33,19,163.15,0,0,4,1
83,Laxmi Ratan Shukla,5,3,0,31,21,10.33,38,81.57,0,0,2,1
84,Vijay Zol,3,2,0,29,16,14.5,26,111.53,0,0,3,1
85,Harbhajan Singh,14,7,2,28,10*,5.6,25,112,0,0,2,2
86,Mandeep Singh,3,3,0,24,21,8,26,92.3,0,0,2,0
87,Dale Steyn,14,4,1,22,12,7.33,26,84.61,0,0,1,0
88,Rahul Shukla,3,3,2,18,14,18,21,85.71,0,0,2,0
89,Nic Maddinson,2,2,0,16,12,8,14,114.28,0,0,3,0
90,Rahul Tewatia,3,1,0,16,16,16,13,123.07,0,0,0,1
91,Jason Holder,1,1,0,16,16,16,12,133.33,0,0,2,1
92,Ravi Rampaul,2,1,0,13,13,13,13,100,0,0,0,1
93,Harshal Patel,3,3,1,13,6,6.5,7,185.71,0,0,1,1
94,Shreyas Gopal,4,1,0,11,11,11,10,110,0,0,1,0
95,Sunil Narine,16,5,3,10,6,5,14,71.42,0,0,0,0
96,Moises Henriques,4,2,0,9,9,4.5,14,64.28,0,0,1,0
97,Zaheer Khan,6,4,3,8,7*,8,7,114.28,0,0,0,1
98,Imran Tahir,6,2,0,8,4,4,10,80,0,0,2,0
99,Ben Cutting,1,1,0,8,8,8,6,133.33,0,0,0,1
100,Dwayne Bravo,1,1,1,8,8*,0,3,266.66,0,0,0,1
101,Shahbaz Nadeem,11,3,1,7,3*,3.5,19,36.84,0,0,0,0
102,Pravin Tambe,13,2,0,5,3,2.5,9,55.55,0,0,0,0
103,Shivam Sharma,4,2,1,5,4,5,3,166.66,0,0,1,0
104,Morne Morkel,12,2,2,4,4*,0,3,133.33,0,0,0,0
