POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Sachin Tendulkar,15,15,2,618,89*,47.53,466,132.61,0,5,86,3
2,Jacques Kallis,16,16,4,572,89*,47.66,494,115.78,0,6,67,9
3,Suresh Raina,16,16,5,520,83*,47.27,364,142.85,0,4,45,22
4,Sourav Ganguly,14,14,1,493,88,37.92,419,117.66,0,4,58,15
5,Murali Vijay,15,15,2,458,127,35.23,292,156.84,1,2,36,26
6,Mahela Jayawardena,13,13,3,439,110*,43.9,298,147.31,1,1,55,11
7,Andrew Symonds,16,16,2,429,54,30.64,341,125.8,0,4,35,18
8,Saurabh Tiwary,16,15,1,419,61,29.92,309,135.59,0,3,29,18
9,Rohit Sharma,16,16,2,404,73,28.85,302,133.77,0,3,36,14
10,Naman Ojha,14,14,2,377,94*,31.41,285,132.28,0,2,42,15
11,Robin Uthappa,16,14,2,374,68*,31.16,218,171.55,0,3,21,27
12,Kumar Sangakkara,13,12,0,357,56,29.75,257,138.91,0,2,47,5
13,Ambati Rayudu,14,14,1,356,55*,27.38,246,144.71,0,2,34,13
14,Subramaniam Badrinath,16,15,4,356,55*,32.36,303,117.49,0,2,41,5
15,Virender Sehwag,14,14,0,356,75,25.42,218,163.3,0,3,47,14
16,Matthew Hayden,16,16,0,346,93,21.62,279,124.01,0,1,37,16
17,Yusuf Pathan,14,14,2,333,100,27.75,201,165.67,1,1,22,24
18,Tirumalasetti Suman,14,14,5,307,78*,34.11,257,119.45,0,2,23,12
19,Virat Kohli,16,13,2,307,58,27.9,212,144.81,0,1,26,12
20,Chris Gayle,9,9,0,292,88,32.44,184,158.69,0,2,30,16
21,Adam Gilchrist,16,16,0,289,54,18.06,185,156.21,0,1,31,16
22,MS Dhoni,13,11,2,287,66*,31.88,210,136.66,0,2,26,8
23,David Warner,11,11,1,282,107*,28.2,191,147.64,1,1,27,14
24,Michael Lumb,11,11,0,278,83,25.27,192,144.79,0,1,45,6
25,Dinesh Karthik,14,14,1,278,69,21.38,237,117.29,0,1,26,6
26,Gautam Gambhir,11,10,1,277,72,30.77,217,127.64,0,2,32,2
27,Irfan Pathan,14,13,5,276,60,34.5,186,148.38,0,1,21,10
28,Kieron Pollard,14,14,2,273,45*,22.75,147,185.71,0,0,23,17
29,Herschelle Gibbs,10,10,0,267,50,26.7,235,113.61,0,1,26,9
30,Rahul Dravid,16,11,2,256,52,28.44,199,128.64,0,1,34,3
31,Yuvraj Singh,14,14,2,255,43,21.25,199,128.14,0,0,20,14
32,Manish Pandey,13,13,1,249,42*,20.75,226,110.17,0,0,27,7
33,Ravi Bopara,10,9,1,248,77,31,214,115.88,0,2,25,3
34,Manoj Tiwary,13,11,2,237,75*,26.33,186,127.41,0,2,23,5
35,Kevin Pietersen,7,7,3,236,66*,59,157,150.31,0,2,23,8
36,Angelo Mathews,14,11,4,233,65*,33.28,184,126.63,0,1,18,8
37,Manvinder Bisla,10,10,0,218,75,21.8,178,122.47,0,1,27,6
38,Paul Collingwood,8,7,2,203,75*,40.6,156,130.12,0,3,9,13
39,Albie Morkel,14,11,3,198,62,24.75,131,151.14,0,1,10,13
40,Shikhar Dhawan,10,10,0,191,56,19.1,170,112.35,0,2,23,3
41,Shane Watson,6,5,0,185,60,37,114,162.28,0,2,18,9
42,Abhishek Jhunjhunwala,13,11,2,183,53*,20.33,166,110.24,0,1,16,4
43,Adam Voges,9,7,3,181,45*,45.25,143,126.57,0,0,15,3
44,Mohnish Mishra,11,11,0,166,41,15.09,144,115.27,0,0,18,6
45,Faiz Fazal,10,9,1,164,45,20.5,154,106.49,0,0,19,1
46,JP Duminy,7,7,2,157,42*,31.4,131,119.84,0,0,13,5
47,Mithun Manhas,9,8,4,157,32*,39.25,149,105.36,0,0,14,0
48,Shaun Marsh,4,4,1,147,88*,49,114,128.94,0,2,14,6
